Id,codigo_sag,cod_sdp
4011,106757,60248
4012,106757,62235
4013,106757,60249
4014,106757,60250
4015,106757,62236
4016,106757,60251
4017,106757,62237
4018,106757,60252
4019,106757,60253
40110,106757,60254
40111,106757,60255
40112,106757,62238
40213,106958,60243
40214,106958,60244
40215,106958,62239
40216,106958,60245
40217,106958,62240
40218,106958,60246
40219,106958,62241
40220,106958,63615
40221,106958,60247
40322,106955,60234
40323,106955,60235
40324,106955,60236
40325,106955,60237
40326,106955,60238
40327,106955,60239
40328,106955,60264
40329,106955,60240
40330,106955,60241
40331,106955,60242
40432,106956,60224
40433,106956,60225
40434,106956,60226
40435,106956,62243
40436,106956,60227
40437,106956,62244
40438,106956,60228
40439,106956,60229
40440,106956,62245
40441,106956,60230
40442,106956,60231
40443,106956,62247
40444,106956,62323
40445,106956,60232
40446,106956,60233
40547,119072,49510
40848,87197,60256
40849,87197,62232
40850,87197,62233
40851,87197,60257
40852,87197,60258
40853,87197,62234
40854,87197,62321
40855,87197,60259
40856,87197,62322
41057,89323,60260
41058,89323,60261
41059,89323,60262
41060,89323,62231
41061,89323,60263
