Id,nombre,nombre_imagen
1,KOPKE,etiqueta_atacama
2,E - MART,etiqueta_atacama
3,SIERRA PRODUCE,etiqueta_carolina
4,PACIFIC TRELLIS,etiqueta_produce_kountry
5,WAL MART,etiqueta_francisca
6,GIUMARRA,etiqueta_atc
7,GRAPEMAN FARMS,etiqueta_grapeman_farms
8,GRAPECO,etiqueta_grapeco
9,SPREAFICO-ITALIA,etiqueta_valle_verde
10,KINGO 1,etiqueta_globo
11,KINGO 2,etiqueta_n1_grapes
12,WING MAU 1,etiqueta_joy_tree
13,WING MAU 2,etiqueta_bernandita
14,DALIAN 1,etiqueta_truenjoy_1
15,DALIAN 2,etiqueta_truenjoy_2
16,SUNWOO,etiqueta_wild_tiger
17,UMINA,etiqueta_n1_grapes
18,KPC,etiqueta_valle_nantoco
