Id,nom_cod,nombre
1,BP,Bags (polipropileno)
2,PPZ,Zipper polipropileno
3,PPS,Slider polipropileno
4,PG15,Punnet (10x500 grs.)
5,CL15,Clamshell (10x500 grs.)
6,CL27,"Clamshell 2 libras (2 x 8)  7,3 kg. "
7,CL29,"Clamshell 2 libras (2 x 10)  9,1 kg."
8,CL38C,"Clamshell 3 libras (3 x 6) 8,2 kg. "
9,CL38S,"Clamshell 3 libras (3 x 6) 8,2 kg. "
10,CL38D,"Clamshell 3 libras (3 x 6) 8,2 kg. "
11,CL38GF,"Clamshell 3 libras (3 x 6) 8,2 kg. "
12,CL38KR,"Clamshell 3 libras (3 x 6) 8,2 kg. "
13,CL38W,"Clamshell 3 libras (3 x 6) 8,2 kg. "
14,CL38BI,"Clamshell 3 libras (3 x 6) 8,2 kg. BICOLOR"
15,BSUO1,Laminado slider Clear Bag (SIN GRAFICA) - Sin Logo
16,BSUO2,Laminado slider Clear Bag (SIN GRAFICA) - Sin Logo
17,BSUG2,Laminado Slider Stand Up  - Grafica Nueva
18,BSUSW,Laminado Slider Sweeties ( ARRA 15)
19,BSUPF,Laminado Slider Passion Fire ( ARRA 29)
20,BZUG1,Laminado zipper Stand Up Grafica Antigua
21,BZUG2,Laminado zipper Stand Up Grafica Nueva
22,BZUO1,Laminado zipper Clear Bag (SIN GRAFICA) - Sin Logo
23,BZUTI,Laminado zipper Stand Up Grafica  ( TIMPSON )
24,BSUSC,Laminado Slider Stand Up Grafica  ( SWEET CELEBRATION )
25,BSUSF,Laminado Slider Stand Up Grafica  ( SWEET FAVORS )
26,BSUSS,Laminado Slider Stand Up Grafica  ( SWEET SAPPHIRE )
27,BZUAC,Laminado zipper Stand Up Grafica  ( AUTUMN CRISP )
28,BSUAC,Laminado Slider Stand Up Grafica  ( AUTUMN CRISP )
29,BSUSG,Laminado Slider Stand Up Grafica  ( SWEET GLOBE )
30,BZUALDI,Laminado zipper Stand Up Grafica ALDI (GOIN APE )
31,BSUCH,Laminado Slider Stand Up Grafica  ( CANDY HEARTS )
32,BSUDR,Laminado Slider Stand Up Grafica ( DULCINEA RED )
33,BSUGF,Laminado Slider Stand Up Clear ( GRAPEMAN FARMS )
34,BZUNF,Laminado zipper Stand Up Grafica (NATURES FINEST )
35,BZUHB,Laminado zipper Stand Up Grafica (HEB )
36,BSUBI,Laminado Slider Stand Up Grafica ( BICOLOR )
37,BSURD,Laminado Slider Stand Up Grafica (RAZZLE DAZZLE )
